,destino_id,inicio_del_viaje,cantidad_viajes
0,11,2024-01-31,4915
1,11,2024-02-29,5008
2,11,2024-03-31,5195
3,11,2024-04-30,5413
4,11,2024-05-31,5441
5,11,2024-06-30,5006
6,11,2024-07-31,4852
7,11,2024-08-31,5281
8,34,2024-01-31,4381
9,34,2024-02-29,3555
10,34,2024-03-31,4254
11,34,2024-04-30,4366
12,34,2024-05-31,4388
13,34,2024-06-30,3658
14,34,2024-07-31,3442
15,34,2024-08-31,4533
16,35,2024-01-31,6647
17,35,2024-02-29,5252
18,35,2024-03-31,6679
19,35,2024-04-30,6844
20,35,2024-05-31,7141
21,35,2024-06-30,6473
22,35,2024-07-31,6567
23,35,2024-08-31,6879
24,50,2024-01-31,5281
25,50,2024-02-29,5113
26,50,2024-03-31,5325
27,50,2024-04-30,5030
28,50,2024-05-31,4910
29,50,2024-06-30,4660
30,50,2024-07-31,4297
31,50,2024-08-31,4701
32,51,2024-01-31,10317
33,51,2024-02-29,10294
34,51,2024-03-31,9567
35,51,2024-04-30,10391
36,51,2024-05-31,10424
37,51,2024-06-30,9343
38,51,2024-07-31,9414
39,51,2024-08-31,10027
40,52,2024-01-31,4997
41,52,2024-02-29,4805
42,52,2024-03-31,4816
43,52,2024-04-30,5204
44,52,2024-05-31,5169
45,52,2024-06-30,4730
46,52,2024-07-31,4812
47,52,2024-08-31,4997
48,54,2024-01-31,4597
49,54,2024-02-29,3673
50,54,2024-03-31,4688
51,54,2024-04-30,4552
52,54,2024-05-31,4735
53,54,2024-06-30,4308
54,54,2024-07-31,4472
55,54,2024-08-31,4814
56,58,2024-01-31,3513
57,58,2024-02-29,3969
58,58,2024-03-31,3625
59,58,2024-04-30,4332
60,58,2024-05-31,3972
61,58,2024-06-30,3400
62,58,2024-07-31,3579
63,58,2024-08-31,3817
64,260,2024-01-31,3922
65,260,2024-02-29,4395
66,260,2024-03-31,4094
67,260,2024-04-30,4351
68,260,2024-05-31,4475
69,260,2024-06-30,3910
70,260,2024-07-31,3975
71,260,2024-08-31,3670
72,271,2024-01-31,4990
73,271,2024-02-29,5125
74,271,2024-03-31,5412
75,271,2024-04-30,5988
76,271,2024-05-31,6194
77,271,2024-06-30,5300
78,271,2024-07-31,5316
79,271,2024-08-31,5952
